,sentence_text,e1,e2,relation_type,normalized_sentence
12083,"If concomitant treatment with sumatriptan and an SSRI (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline, citalopram, escitalopram) is clinically warranted, appropriate observation of the patient is advised.",sumatriptan,escitalopram,advise,"If_bf concomitant_bf treatment_bf DRUG SSRI_be (e_be ._be g_be ._be ,_be fluoxetine_be ,_be fluvoxamine_be ,_be paroxetine_be ,_be sertraline_be ,_be citalopram_be ,_be escitalopram)_be clinically_be warranted_be ,_be appropriate_be observation_be patient_be advised_be ._be"
12191,"Concomitant Administration with Racemic Citalopram Citalopram - Since escitalopram is the active isomer of racemic citalopram (Celexa), the two agents should not be coadministered.",escitalopram,citalopram,advise,"Concomitant_bf Administration_bf Racemic_bf OTHER_DRUG OTHER_DRUG -_af Since_af DRUG active_af isomer_af racemic_af OTHER_DRUG (Celexa)_af ,_af two_af agents_af coadministered_af ._af"
12192,"Concomitant Administration with Racemic Citalopram Citalopram - Since escitalopram is the active isomer of racemic citalopram (Celexa), the two agents should not be coadministered.",escitalopram,Celexa,advise,"Concomitant_bf Administration_bf Racemic_bf Citalopram_bf Citalopram_bf -_bf Since_bf DRUG active_be isomer_be racemic_be citalopram_be (Celexa)_be ,_be two_be agents_be coadministered_be ._be"
12223,"Although the interactions observed in these studies do not appear to be of major clinical importance, BREVIBLOC should be titrated with caution in patients being treated concurrently with digoxin, morphine, succinylcholine or warfarin.",BREVIBLOC,digoxin,advise,"Although_bf interactions_bf observed_bf studies_bf appear_bf major_bf clinical_bf importance_bf ,_bf DRUG titrated_be caution_be patients_be treated_be concurrently_be OTHER_DRUG ,_af morphine_af ,_af succinylcholine_af warfarin_af ._af"
12224,"Although the interactions observed in these studies do not appear to be of major clinical importance, BREVIBLOC should be titrated with caution in patients being treated concurrently with digoxin, morphine, succinylcholine or warfarin.",BREVIBLOC,morphine,advise,"Although_bf interactions_bf observed_bf studies_bf appear_bf major_bf clinical_bf importance_bf ,_bf DRUG titrated_be caution_be patients_be treated_be concurrently_be digoxin_be ,_be OTHER_DRUG ,_af succinylcholine_af warfarin_af ._af"
12225,"Although the interactions observed in these studies do not appear to be of major clinical importance, BREVIBLOC should be titrated with caution in patients being treated concurrently with digoxin, morphine, succinylcholine or warfarin.",BREVIBLOC,succinylcholine,advise,"Although_bf interactions_bf observed_bf studies_bf appear_bf major_bf clinical_bf importance_bf ,_bf DRUG titrated_be caution_be patients_be treated_be concurrently_be digoxin_be ,_be morphine_be ,_be OTHER_DRUG warfarin_af ._af"
12226,"Although the interactions observed in these studies do not appear to be of major clinical importance, BREVIBLOC should be titrated with caution in patients being treated concurrently with digoxin, morphine, succinylcholine or warfarin.",BREVIBLOC,warfarin,advise,"Although_bf interactions_bf observed_bf studies_bf appear_bf major_bf clinical_bf importance_bf ,_bf DRUG titrated_be caution_be patients_be treated_be concurrently_be digoxin_be ,_be morphine_be ,_be succinylcholine_be OTHER_DRUG ._af"
12233,Caution should be exercised when considering the use of BREVIBLOC and verapamil in patients with depressed myocardial function.,BREVIBLOC,verapamil,advise,Caution_bf exercised_bf considering_bf use_bf DRUG OTHER_DRUG patients_af depressed_af myocardial_af function_af ._af
12234,"Additionally, BREVIBLOC should not be used to control supraventricular tachycardia in the presence of agents which are vasoconstrictive and inotropic such as dopamine, epinephrine, and norepinephrine because of the danger of blocking cardiac contractility when systemic vascular resistance is high.",BREVIBLOC,dopamine,advise,"Additionally_bf ,_bf DRUG used_be control_be supraventricular_be tachycardia_be presence_be agents_be vasoconstrictive_be inotropic_be OTHER_DRUG ,_af epinephrine_af ,_af norepinephrine_af danger_af blocking_af cardiac_af contractility_af systemic_af vascular_af resistance_af high_af ._af"
12235,"Additionally, BREVIBLOC should not be used to control supraventricular tachycardia in the presence of agents which are vasoconstrictive and inotropic such as dopamine, epinephrine, and norepinephrine because of the danger of blocking cardiac contractility when systemic vascular resistance is high.",BREVIBLOC,epinephrine,advise,"Additionally_bf ,_bf DRUG used_be control_be supraventricular_be tachycardia_be presence_be agents_be vasoconstrictive_be inotropic_be dopamine_be ,_be OTHER_DRUG ,_af norepinephrine_af danger_af blocking_af cardiac_af contractility_af systemic_af vascular_af resistance_af high_af ._af"
12236,"Additionally, BREVIBLOC should not be used to control supraventricular tachycardia in the presence of agents which are vasoconstrictive and inotropic such as dopamine, epinephrine, and norepinephrine because of the danger of blocking cardiac contractility when systemic vascular resistance is high.",BREVIBLOC,norepinephrine,advise,"Additionally_bf ,_bf DRUG used_be control_be supraventricular_be tachycardia_be presence_be agents_be vasoconstrictive_be inotropic_be dopamine_be ,_be epinephrine_be ,_be OTHER_DRUG danger_af blocking_af cardiac_af contractility_af systemic_af vascular_af resistance_af high_af ._af"
12277,Concomitant administration of clarithromycin with pimozide is contraindicated.,clarithromycin,pimozide,advise,Concomitant_bf administration_bf DRUG OTHER_DRUG contraindicated_af ._af
12399,Considerable caution should be exercised if PEGANONE is administered concurrently with Phenurone (phenacemide) since paranoid symptoms have been reported during therapy with this combination.,PEGANONE,Phenurone,advise,Considerable_bf caution_bf exercised_bf DRUG administered_be concurrently_be OTHER_DRUG (phenacemide)_af since_af paranoid_af symptoms_af reported_af therapy_af combination_af ._af
12400,Considerable caution should be exercised if PEGANONE is administered concurrently with Phenurone (phenacemide) since paranoid symptoms have been reported during therapy with this combination.,PEGANONE,phenacemide,advise,Considerable_bf caution_bf exercised_bf DRUG administered_be concurrently_be Phenurone_be (phenacemide)_be since_be paranoid_be symptoms_be reported_be therapy_be combination_be ._be
12410,Caution is therefore advised when administering PEGANONE to patients receiving coumarin anticoagulants.,PEGANONE,coumarin anticoagulants,advise,Caution_bf therefore_bf advised_bf administering_bf DRUG patients_be receiving_be coumarin_be anticoagulants_be ._be
12415,This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE-inhibitors.,NSAIDs,ACE-inhibitors,advise,This_bf interaction_bf given_bf consideration_bf patients_bf taking_bf DRUG concomitantly_be OTHER_DRUG ._af
12427,"however, as with other NSAIDs, concomitant administration of Lodine and aspirin is not generally recommended because of the potential of increased adverse effects.",Lodine,aspirin,advise,"however_bf ,_bf NSAIDs_bf ,_bf concomitant_bf administration_bf DRUG OTHER_DRUG generally_af recommended_af potential_af increased_af adverse_af effects_af ._af"
12460,"Although in vivo studies have not been done to see if etodolac clearance is changed by coadministration of phenylbutazone, it is not recommended that they be coadministered.",etodolac,phenylbutazone,advise,"Although_bf vivo_bf studies_bf done_bf see_bf DRUG clearance_be changed_be coadministration_be OTHER_DRUG ,_af recommended_af coadministered_af ._af"
13521,"In order to maintain phenytoin levels, limit adverse experiences, and achieve the felbamate dose of 3600 mg/day, a phenytoin dose reduction of approximately 40% was necessary for eight of these 10 subjects.",felbamate,phenytoin,advise,"In_bf order_bf maintain_bf OTHER_DRUG levels_be ,_be limit_be adverse_be experiences_be ,_be achieve_be DRUG dose_af 3600_af mg/day_af ,_af OTHER_DRUG dose_af reduction_af approximately_af 40%_af necessary_af eight_af 10_af subjects_af ._af"
13746,"Because Nalfon has not been shown to produce any additional effect beyond that obtained with aspirin alone and because aspirin increases the rate of excretion of Nalfon, the concomitant use of Nalfon and salicylates is not recommended.",Nalfon,salicylates,advise,"Because_bf DRUG shown_be produce_be additional_be effect_be beyond_be obtained_be aspirin_be alone_be aspirin_be increases_be rate_be excretion_be DRUG ,_af concomitant_af use_af DRUG OTHER_DRUG recommended_af ._af"
13748,"When phenobarbital is added to or withdrawn from treatment, dosage adjustment of Nalfon may be required.",phenobarbital,Nalfon,advise,"When_bf DRUG added_be withdrawn_be treatment_be ,_be dosage_be adjustment_be OTHER_DRUG may_af required_af ._af"
13754,"In patients receiving Nalfon and a steroid concomitantly, any reduction in steroid dosage should be gradual in order to avoid the possible complications of sudden steroid withdrawal.",Nalfon,steroid,advise,"In_bf patients_bf receiving_bf DRUG OTHER_DRUG concomitantly_af ,_af reduction_af OTHER_DRUG dosage_af gradual_af order_af avoid_af possible_af complications_af sudden_af OTHER_DRUG withdrawal_af ._af"
13877,MAO Inhibitors: DURAGESIC  is not recommended for use in patients who have received MAOI within 14 days because severe and unpredictable potentiation by MAO inhibitors has been reported with opioid analgesics,DURAGESIC,MAOI,advise,MAO_bf Inhibitors:_bf DRUG recommended_be use_be patients_be received_be OTHER_DRUG within_af 14_af days_af severe_af unpredictable_af potentiation_af MAO_af inhibitors_af reported_af opioid_af analgesics_af
13882,MAO Inhibitors: DURAGESIC  is not recommended for use in patients who have received MAOI within 14 days because severe and unpredictable potentiation by MAO inhibitors has been reported with opioid analgesics,MAO inhibitors,opioid analgesics,advise,MAO_bf Inhibitors:_bf DURAGESIC_bf recommended_bf use_bf patients_bf received_bf MAOI_bf within_bf 14_bf days_bf severe_bf unpredictable_bf potentiation_bf MAO_bf inhibitors_bf reported_bf opioid_bf analgesics_bf
13932,ALLEGRA should not be taken closely in time with aluminum and magnesium containing antacids.,ALLEGRA,aluminum,advise,DRUG taken_be closely_be time_be OTHER_DRUG magnesium_af containing_af antacids_af ._af
13933,ALLEGRA should not be taken closely in time with aluminum and magnesium containing antacids.,ALLEGRA,magnesium,advise,DRUG taken_be closely_be time_be aluminum_be OTHER_DRUG containing_af antacids_af ._af
14111,"Because both of these drugs have negative inotropic properties and the effects of coadministration with TAMBOCOR are unknown, neither disopyramide nor verapamil should be administered concurrently with TAMBOCOR unless, in the judgment of the physician, the benefits of this combination outweigh the risks.",disopyramide,TAMBOCOR,advise,"Because_bf drugs_bf negative_bf inotropic_bf properties_bf effects_bf coadministration_bf OTHER_DRUG unknown_be ,_be neither_be DRUG verapamil_af administered_af concurrently_af OTHER_DRUG unless_af ,_af judgment_af physician_af ,_af benefits_af combination_af outweigh_af risks_af ._af"
14112,"Because both of these drugs have negative inotropic properties and the effects of coadministration with TAMBOCOR are unknown, neither disopyramide nor verapamil should be administered concurrently with TAMBOCOR unless, in the judgment of the physician, the benefits of this combination outweigh the risks.",verapamil,TAMBOCOR,advise,"Because_bf drugs_bf negative_bf inotropic_bf properties_bf effects_bf coadministration_bf OTHER_DRUG unknown_be ,_be neither_be disopyramide_be DRUG administered_af concurrently_af OTHER_DRUG unless_af ,_af judgment_af physician_af ,_af benefits_af combination_af outweigh_af risks_af ._af"
14199,Wait 5 weeks after stopping escitalopram before starting a non-selective MAO inhibitor.,escitalopram,non-selective MAO inhibitor,advise,Wait_bf 5_bf weeks_bf stopping_bf DRUG starting_be non-selective_be MAO_be inhibitor_be ._be
14200,Wait 2 weeks after stopping an MAO inhibitor before starting escitalopram.,MAO inhibitor,escitalopram,advise,Wait_bf 2_bf weeks_bf stopping_bf MAO_bf inhibitor_bf starting_bf OTHER_DRUG ._be
14427,"Therefore, close monitoring of prothrombin time is recommended and adjustment of the anticoagulant dose may be necessary when EULEXIN Capsules are administered concomitantly with warfarin.",EULEXIN,warfarin,advise,"Therefore_bf ,_bf close_bf monitoring_bf prothrombin_bf time_bf recommended_bf adjustment_bf anticoagulant_bf dose_bf may_bf necessary_bf DRUG Capsules_be administered_be concomitantly_be OTHER_DRUG ._af"
14431,"Therefore, it is recommended that Fluvoxamine Tablets not be used in combination with MAOIs, or within 14 days of discontinuing treatment with a MAOI.",Fluvoxamine,MAOIs,advise,"Therefore_bf ,_bf recommended_bf DRUG Tablets_be used_be combination_be OTHER_DRUG ,_af within_af 14_af days_af discontinuing_af treatment_af MAOI_af ._af"
14432,"Therefore, it is recommended that Fluvoxamine Tablets not be used in combination with MAOIs, or within 14 days of discontinuing treatment with a MAOI.",Fluvoxamine,MAOI,advise,"Therefore_bf ,_bf recommended_bf DRUG Tablets_be used_be combination_be MAOIs_be ,_be within_be 14_be days_be discontinuing_be treatment_be OTHER_DRUG ._af"
14434,"After stopping Fluvoxamine Tablets, at least 2 weeks should be allowed before starting a MAOI.",Fluvoxamine,MAOI,advise,"After_bf stopping_bf DRUG Tablets_be ,_be least_be 2_be weeks_be allowed_be starting_be OTHER_DRUG ._af"
14451,"Consequently, it is recommended that fluvoxamine not be used in combination with either terbinafine, astemizole, or cisapride.",fluvoxamine,terbinafine,advise,"Consequently_bf ,_bf recommended_bf DRUG used_be combination_be either_be OTHER_DRUG ,_af astemizole_af ,_af cisapride_af ._af"
14452,"Consequently, it is recommended that fluvoxamine not be used in combination with either terbinafine, astemizole, or cisapride.",fluvoxamine,astemizole,advise,"Consequently_bf ,_bf recommended_bf DRUG used_be combination_be either_be terbinafine_be ,_be OTHER_DRUG ,_af cisapride_af ._af"
14453,"Consequently, it is recommended that fluvoxamine not be used in combination with either terbinafine, astemizole, or cisapride.",fluvoxamine,cisapride,advise,"Consequently_bf ,_bf recommended_bf DRUG used_be combination_be either_be terbinafine_be ,_be astemizole_be ,_be OTHER_DRUG ._af"
14499,"This interaction, which has not been investigated using higher doses of fluvoxamine, may be more pronounced if a 300 mg daily dose is co-administered, particularly since fluvoxamine exhibits non-linear pharmacokinetics over the dosage range 100-300 mg. If alprazolam is co-administered with Fluvoxamine Tablets, the initial alprazolam dosage should be at least halved and titration to the lowest effective dose is recommended.",alprazolam,Fluvoxamine,advise,"This_bf interaction_bf ,_bf investigated_bf using_bf higher_bf doses_bf OTHER_DRUG ,_be may_be pronounced_be 300_be mg_be daily_be dose_be co-administered_be ,_be particularly_be since_be OTHER_DRUG exhibits_af non-linear_af pharmacokinetics_af dosage_af range_af 100-300_af mg_af ._af If_af DRUG co-administered_af OTHER_DRUG Tablets_af ,_af initial_af DRUG dosage_af least_af halved_af titration_af lowest_af effective_af dose_af recommended_af ._af"
14504,Diazepam: The co-administration of Fluvoxamine Tablets and diazepam is generally not advisable.,Fluvoxamine,diazepam,advise,Diazepam:_bf The_bf co-administration_bf DRUG Tablets_be OTHER_DRUG generally_af advisable_af ._af
14508,Evidence supporting the conclusion that it is inadvisable to co-administer fluvoxamine and diazepam is derived from a study in which healthy volunteers taking 150 mg/day of fluvoxamine were administered a single oral dose of 10 mg of diazepam.,fluvoxamine,diazepam,advise,Evidence_bf supporting_bf conclusion_bf inadvisable_bf co-administer_bf DRUG OTHER_DRUG derived_af study_af healthy_af volunteers_af taking_af 150_af mg/day_af DRUG administered_af single_af oral_af dose_af 10_af mg_af OTHER_DRUG ._af
14516,"Accordingly, diazepam and fluvoxamine should not ordinarily be co-administered.",diazepam,fluvoxamine,advise,"Accordingly_bf ,_bf DRUG OTHER_DRUG ordinarily_af co-administered_af ._af"
14523,"Therefore, if theophylline is co-administered with fluvoxamine maleate, its dose should be reduced to one third of the usual daily maintenance dose and plasma concentrations of theophylline should to monitored.",theophylline,fluvoxamine maleate,advise,"Therefore_bf ,_bf DRUG co-administered_be fluvoxamine_be maleate_be ,_be dose_be reduced_be one_be third_be usual_be daily_be maintenance_be dose_be plasma_be concentrations_be DRUG monitored_af ._af"
14532,Thus patients receiving oral anticoagulants and Fluvoxamine Tablets should have their prothrombin time monitored and their anticoagulant dose adjusted accordingly.,anticoagulants,Fluvoxamine,advise,Thus_bf patients_bf receiving_bf oral_bf DRUG OTHER_DRUG Tablets_af prothrombin_af time_af monitored_af anticoagulant_af dose_af adjusted_af accordingly_af ._af
14595,Monoamine Oxidase Inhibitors and Tricyclic Antidepressants: FORADIL should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents.,FORADIL,monoamine oxidase inhibitors,advise,Monoamine_bf Oxidase_bf Inhibitors_bf Tricyclic_bf Antidepressants:_bf DRUG administered_be extreme_be caution_be patients_be treated_be monoamine_be oxidase_be inhibitors_be tricyclic_be antidepressants_be action_be formoterol_be cardiovascular_be system_be may_be potentiated_be agents_be ._be
14596,Monoamine Oxidase Inhibitors and Tricyclic Antidepressants: FORADIL should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents.,FORADIL,tricyclic antidepressants,advise,Monoamine_bf Oxidase_bf Inhibitors_bf Tricyclic_bf Antidepressants:_bf DRUG administered_be extreme_be caution_be patients_be treated_be monoamine_be oxidase_be inhibitors_be tricyclic_be antidepressants_be action_be formoterol_be cardiovascular_be system_be may_be potentiated_be agents_be ._be
14647,"Because of foscarnets tendency to cause renal impairment, the use of FOSCAVIR should be avoided in combination with potentially nephrotoxic drugs such as aminoglycosides, amphotericin B and intravenous pentamidine unless the potential benefits outweigh the risks to the patient.",FOSCAVIR,aminoglycosides,advise,"Because_bf foscarnets_bf tendency_bf cause_bf renal_bf impairment_bf ,_bf use_bf DRUG avoided_be combination_be potentially_be nephrotoxic_be drugs_be OTHER_DRUG ,_af amphotericin_af B_af intravenous_af pentamidine_af unless_af potential_af benefits_af outweigh_af risks_af patient_af ._af"
14648,"Because of foscarnets tendency to cause renal impairment, the use of FOSCAVIR should be avoided in combination with potentially nephrotoxic drugs such as aminoglycosides, amphotericin B and intravenous pentamidine unless the potential benefits outweigh the risks to the patient.",FOSCAVIR,amphotericin B,advise,"Because_bf foscarnets_bf tendency_bf cause_bf renal_bf impairment_bf ,_bf use_bf DRUG avoided_be combination_be potentially_be nephrotoxic_be drugs_be aminoglycosides_be ,_be amphotericin_be B_be intravenous_be pentamidine_be unless_be potential_be benefits_be outweigh_be risks_be patient_be ._be"
14649,"Because of foscarnets tendency to cause renal impairment, the use of FOSCAVIR should be avoided in combination with potentially nephrotoxic drugs such as aminoglycosides, amphotericin B and intravenous pentamidine unless the potential benefits outweigh the risks to the patient.",FOSCAVIR,pentamidine,advise,"Because_bf foscarnets_bf tendency_bf cause_bf renal_bf impairment_bf ,_bf use_bf DRUG avoided_be combination_be potentially_be nephrotoxic_be drugs_be aminoglycosides_be ,_be amphotericin_be B_be intravenous_be OTHER_DRUG unless_af potential_af benefits_af outweigh_af risks_af patient_af ._af"
14671,"Due to a theoretical risk of a pharmacodynamic interaction, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and FROVA within 24 hours of each other should be avoided (see  a href= frova_od.htm#CI CONTRAINDICATIONS).",ergotamine,FROVA,advise,"Due_bf theoretical_bf risk_bf pharmacodynamic_bf interaction_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf dihydroergotamine_bf methysergide)_bf OTHER_DRUG within_be 24_be hours_be avoided_be (see_be href=_be frova_od_be ._be htm#CI_be CONTRAINDICATIONS)_be ._be"
14674,"Due to a theoretical risk of a pharmacodynamic interaction, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and FROVA within 24 hours of each other should be avoided (see  a href= frova_od.htm#CI CONTRAINDICATIONS).",ergot-type medications,FROVA,advise,"Due_bf theoretical_bf risk_bf pharmacodynamic_bf interaction_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf dihydroergotamine_bf methysergide)_bf OTHER_DRUG within_be 24_be hours_be avoided_be (see_be href=_be frova_od_be ._be htm#CI_be CONTRAINDICATIONS)_be ._be"
14676,"Due to a theoretical risk of a pharmacodynamic interaction, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and FROVA within 24 hours of each other should be avoided (see  a href= frova_od.htm#CI CONTRAINDICATIONS).",dihydroergotamine,FROVA,advise,"Due_bf theoretical_bf risk_bf pharmacodynamic_bf interaction_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf DRUG methysergide)_be OTHER_DRUG within_af 24_af hours_af avoided_af (see_af href=_af frova_od_af ._af htm#CI_af CONTRAINDICATIONS)_af ._af"
14677,"Due to a theoretical risk of a pharmacodynamic interaction, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and FROVA within 24 hours of each other should be avoided (see  a href= frova_od.htm#CI CONTRAINDICATIONS).",methysergide,FROVA,advise,"Due_bf theoretical_bf risk_bf pharmacodynamic_bf interaction_bf ,_bf use_bf ergotamine-containing_bf ergot-type_bf medications_bf (like_bf dihydroergotamine_bf methysergide)_bf OTHER_DRUG within_be 24_be hours_be avoided_be (see_be href=_be frova_od_be ._be htm#CI_be CONTRAINDICATIONS)_be ._be"
14699,"If concomitant treatment with frovatriptan and an SSRI is clinically warranted, appropriate observation of the patient is advised.",frovatriptan,SSRI,advise,"If_bf concomitant_bf treatment_bf DRUG OTHER_DRUG clinically_af warranted_af ,_af appropriate_af observation_af patient_af advised_af ._af"
14702,Furosemide should not be used concomitantly with ethacrynic acid because of the possibility of ototoxicity.,Furosemide,ethacrynic acid,advise,DRUG used_be concomitantly_be ethacrynic_be acid_be possibility_be ototoxicity_be ._be
14709,Lithium generally should not be given with diuretics because they reduce lithiums renal clearance and add a high risk of lithium toxicity.,Lithium,diuretics,advise,DRUG generally_be given_be OTHER_DRUG reduce_af lithiums_af renal_af clearance_af add_af high_af risk_af DRUG toxicity_af ._af
14721,The intake of furosemide and sucralfate should be separated by at least two hours.,furosemide,sucralfate,advise,The_bf intake_bf DRUG OTHER_DRUG separated_af least_af two_af hours_af ._af
14725,Patients receiving both indomethacin and furosemide should be observed closely to determine if the desired diuretic and/or antihypertensive effect of furosemide is achieved.,indomethacin,furosemide,advise,Patients_bf receiving_bf DRUG OTHER_DRUG observed_af closely_af determine_af desired_af diuretic_af and/or_af antihypertensive_af effect_af OTHER_DRUG achieved_af ._af
14821,It is recommended that gabapentin be taken at least 2 hours following Maalox administration.,gabapentin,Maalox,advise,It_bf recommended_bf DRUG taken_be least_be 2_be hours_be following_be OTHER_DRUG administration_af ._af
14896,"However, because some quinolones have been reported to enhance the anticoagulant effects of warfarin or its derivatives in patients, the prothrombin time or other suitable coagulation test should be closely monitored if a quinolone antimicrobial is administered concomitantly with warfarin or its derivatives.",quinolone antimicrobial,warfarin,advise,"However_bf ,_bf quinolones_bf reported_bf enhance_bf anticoagulant_bf effects_bf OTHER_DRUG derivatives_be patients_be ,_be prothrombin_be time_be suitable_be coagulation_be test_be closely_be monitored_be quinolone_be antimicrobial_be administered_be concomitantly_be OTHER_DRUG derivatives_af ._af"
14911,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",Magnesium,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf Videx_bf (didanosine)_bf chewable/buffered_bf tablets_bf pediatric_bf powder_bf oral_bf solution_bf taken_bf within_bf 3_bf hours_bf 2_bf hours_bf OTHER_DRUG ._be"
14919,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",aluminum,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf Videx_bf (didanosine)_bf chewable/buffered_bf tablets_bf pediatric_bf powder_bf oral_bf solution_bf taken_bf within_bf 3_bf hours_bf 2_bf hours_bf OTHER_DRUG ._be"
14932,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",ferrous sulfate,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf Videx_bf (didanosine)_bf chewable/buffered_bf tablets_bf pediatric_bf powder_bf oral_bf solution_bf taken_bf within_bf 3_bf hours_bf 2_bf hours_bf OTHER_DRUG ._be"
14937,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",iron,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf Videx_bf (didanosine)_bf chewable/buffered_bf tablets_bf pediatric_bf powder_bf oral_bf solution_bf taken_bf within_bf 3_bf hours_bf 2_bf hours_bf OTHER_DRUG ._be"
14941,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",multivitamin preparations,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf Videx_bf (didanosine)_bf chewable/buffered_bf tablets_bf pediatric_bf powder_bf oral_bf solution_bf taken_bf within_bf 3_bf hours_bf 2_bf hours_bf OTHER_DRUG ._be"
14944,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",zinc,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf DRUG metal_be cations_be ,_be Videx_be (didanosine)_be chewable/buffered_be tablets_be pediatric_be powder_be oral_be solution_be taken_be within_be 3_be hours_be 2_be hours_be OTHER_DRUG ._af"
14946,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",Videx,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf DRUG (didanosine)_be chewable/buffered_be tablets_be pediatric_be powder_be oral_be solution_be taken_be within_be 3_be hours_be 2_be hours_be OTHER_DRUG ._af"
14947,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours after FACTIVE.",didanosine,FACTIVE,advise,"Magnesium-_bf and/or_bf aluminum-containing_bf antacids_bf ,_bf products_bf containing_bf ferrous_bf sulfate_bf (iron)_bf ,_bf multivitamin_bf preparations_bf containing_bf zinc_bf metal_bf cations_bf ,_bf Videx_bf (didanosine)_bf chewable/buffered_bf tablets_bf pediatric_bf powder_bf oral_bf solution_bf taken_bf within_bf 3_bf hours_bf 2_bf hours_bf OTHER_DRUG ._be"
14948,Sucralfate should not be taken within 2 hours of FACTIVE.,Sucralfate,FACTIVE,advise,DRUG taken_be within_be 2_be hours_be OTHER_DRUG ._af
